epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8113,2.24743,3.67725,1.99981,0.00326,0.19728,0.00392,0.00125,2.71016,51.1018,3.33845,0.00064,0.00064,0.00064
2,59.4284,2.29,2.50991,2.11949,0.00048,0.14286,0.00037,0.00012,nan,nan,nan,0.00128713,0.00128713,0.00128713
3,85.779,2.41842,2.50157,2.23594,0.00048,0.14286,0.00037,0.00012,nan,nan,nan,0.00192119,0.00192119,0.00192119
4,111.482,2.28756,2.17467,2.09254,0.0625,0.03401,0.00634,0.00129,3.72733,46.0448,5.63364,0.0019406,0.0019406,0.0019406
5,137.96,2.28583,2.0546,2.12788,0.0579,0.06803,0.0324,0.00827,3.16755,23.6955,3.97992,0.0019208,0.0019208,0.0019208
6,164.361,2.14735,1.99188,1.96408,0.0825,0.2092,0.04436,0.01438,2.62337,30.9907,2.71305,0.001901,0.001901,0.001901
7,192.804,2.12766,1.95881,1.92796,0.13772,0.58503,0.12136,0.03681,2.24026,13.3172,2.24023,0.0018812,0.0018812,0.0018812
8,219.873,1.99101,1.73036,1.79932,0.33348,0.42857,0.3437,0.12508,2.2904,3.55321,2.16073,0.0018614,0.0018614,0.0018614
9,245.408,1.92984,1.73904,1.73926,0.34183,0.29252,0.2383,0.0871,2.32081,2.69739,2.19357,0.0018416,0.0018416,0.0018416
10,271.223,1.97905,1.69055,1.77635,0.33406,0.58503,0.35168,0.13713,2.06485,2.48688,1.90098,0.0018218,0.0018218,0.0018218
11,297.411,1.90374,1.62868,1.70157,0.49314,0.63265,0.60065,0.26301,1.76226,2.47214,1.66791,0.001802,0.001802,0.001802
12,322.816,1.93464,1.63294,1.73075,0.4013,0.35374,0.30768,0.12899,2.1896,3.12886,2.15124,0.0017822,0.0017822,0.0017822
13,349.006,1.9301,1.63535,1.7603,0.56439,0.43189,0.41943,0.16254,2.17678,2.059,1.98675,0.0017624,0.0017624,0.0017624
14,374.261,1.85578,1.5067,1.65056,0.34568,0.27891,0.24202,0.09557,2.04882,4.53895,1.99511,0.0017426,0.0017426,0.0017426
15,399.08,1.87722,1.46901,1.68848,0.55811,0.35374,0.38819,0.17421,2.12104,2.8301,1.98803,0.0017228,0.0017228,0.0017228
16,425.298,1.85881,1.46669,1.66053,0.44711,0.46259,0.36198,0.13376,2.2546,2.19619,2.05636,0.001703,0.001703,0.001703
17,450.399,1.78861,1.48435,1.61575,0.57978,0.59184,0.59559,0.27144,1.88789,1.88156,1.70552,0.0016832,0.0016832,0.0016832
18,476.356,1.71442,1.34093,1.53971,0.59249,0.65986,0.67353,0.27284,1.89619,1.56755,1.74561,0.0016634,0.0016634,0.0016634
19,503.446,1.78247,1.34605,1.60249,0.69738,0.59184,0.64937,0.27523,1.93082,1.68461,1.79009,0.0016436,0.0016436,0.0016436
20,528.205,1.73959,1.30664,1.60413,0.59543,0.67347,0.65139,0.28845,1.87117,1.46423,1.6712,0.0016238,0.0016238,0.0016238
21,554.631,1.67249,1.25931,1.50913,0.72292,0.69219,0.7559,0.36731,1.78768,1.31713,1.6038,0.001604,0.001604,0.001604
22,581.566,1.71598,1.26615,1.53336,0.55593,0.61905,0.59063,0.28197,1.80948,1.48287,1.65596,0.0015842,0.0015842,0.0015842
23,605.93,1.77461,1.37284,1.58818,0.70028,0.58503,0.6606,0.28967,1.82377,1.46795,1.68368,0.0015644,0.0015644,0.0015644
24,631.691,1.7491,1.29609,1.554,0.67886,0.77653,0.78316,0.3756,1.77253,1.32192,1.59453,0.0015446,0.0015446,0.0015446
25,658.1,1.70921,1.3034,1.52737,0.53591,0.56463,0.58764,0.26217,1.92126,1.56946,1.67634,0.0015248,0.0015248,0.0015248
26,682.666,1.75812,1.28382,1.59257,0.63156,0.63946,0.66641,0.30093,1.86714,1.36043,1.67227,0.001505,0.001505,0.001505
27,707.963,1.65816,1.23041,1.52589,0.68256,0.71429,0.68448,0.32855,1.75709,1.2727,1.56823,0.0014852,0.0014852,0.0014852
28,733.878,1.7315,1.24786,1.5458,0.73444,0.79592,0.77941,0.38142,1.67262,1.15033,1.53135,0.0014654,0.0014654,0.0014654
29,759.258,1.63337,1.24511,1.48195,0.66622,0.6925,0.67585,0.30504,1.87407,1.30818,1.66507,0.0014456,0.0014456,0.0014456
30,784.896,1.68646,1.23631,1.54216,0.7656,0.71102,0.80112,0.38685,1.70504,1.25831,1.55196,0.0014258,0.0014258,0.0014258
31,811.37,1.6185,1.23577,1.50029,0.62278,0.53061,0.53406,0.25194,1.90503,1.58895,1.75345,0.001406,0.001406,0.001406
32,835.901,1.59524,1.14567,1.44474,0.805,0.69388,0.76038,0.39241,1.6847,1.32982,1.54614,0.0013862,0.0013862,0.0013862
33,862.72,1.59509,1.16964,1.46897,0.75944,0.70068,0.75322,0.36202,1.78118,1.33008,1.60121,0.0013664,0.0013664,0.0013664
34,887.786,1.68032,1.23498,1.49014,0.63725,0.64626,0.67602,0.32303,1.81876,1.4204,1.62517,0.0013466,0.0013466,0.0013466
35,912.36,1.64778,1.18103,1.52442,0.57552,0.36054,0.40176,0.21172,2.03054,2.08985,1.90578,0.0013268,0.0013268,0.0013268
